SPINDLE_SPEED,STAGE_ROTATION,MAIN_OUTER_AIR_BAG_PRESSURE,RELATIVE_SPEED,PRESSURE_SPEED,speed_rot,speed_ratio,target_length
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,15.9
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,3.62
-3.412458129349638e-17,-0.97182531580755,0.7171093833693124,0.97182531580755,0.9054665414974683,3.3163131992352534e-17,3.511394059443771e-17,103.7
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,2.7
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,5.67
0.7924177540772609,0.0,0.7171093833693124,0.7924177540772609,0.9054665414974683,0.0,792417.754077261,12.88
-3.412458129349638e-17,0.97182531580755,0.7171093833693124,-0.97182531580755,0.9054665414974683,-3.3163131992352534e-17,-3.511386833061849e-17,67.3
0.1608767587975645,0.0,0.7171093833693124,0.1608767587975645,0.9054665414974683,0.0,160876.75879756451,13.79
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,5.2
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,6.27
-3.412458129349638e-17,-0.97182531580755,0.7171093833693124,0.97182531580755,0.9054665414974683,3.3163131992352534e-17,3.511394059443771e-17,57.38
-1.0864167068798352,0.0,0.7876795029254885,-1.0864167068798352,0.8374013009389213,-0.0,-1086416.706879835,3.3
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,40.0
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,2.3
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,3.5
-3.412458129349638e-17,0.97182531580755,0.7171093833693124,-0.97182531580755,0.9054665414974683,-3.3163131992352534e-17,-3.511386833061849e-17,40.5
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,10.73
1.423958749356957,0.0,0.7171093833693124,1.423958749356957,0.9054665414974683,0.0,1423958.7493569572,13.65
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.75
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,4.1
-3.412458129349638e-17,-0.97182531580755,0.7171093833693124,0.97182531580755,0.9054665414974683,3.3163131992352534e-17,3.511394059443771e-17,70.68
-1.092732116832632,0.0,0.0,-1.092732116832632,1.286147613303567,-0.0,-1092732.116832632,3.8
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,3.5
-3.412458129349638e-17,0.97182531580755,0.7171093833693124,-0.97182531580755,0.9054665414974683,-3.3163131992352534e-17,-3.511386833061849e-17,52.4
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,5.03
0.7924177540772609,0.0,0.7171093833693124,0.7924177540772609,0.9054665414974683,0.0,792417.754077261,10.89
1.423958749356957,0.0,0.7171093833693124,1.423958749356957,0.9054665414974683,0.0,1423958.7493569572,11.89
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,2.2
-3.412458129349638e-17,-0.97182531580755,0.7171093833693124,0.97182531580755,0.9054665414974683,3.3163131992352534e-17,3.511394059443771e-17,91.4
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,14.42
