SPINDLE_SPEED,STAGE_ROTATION,MAIN_OUTER_AIR_BAG_PRESSURE,RELATIVE_SPEED,PRESSURE_SPEED,speed_rot,speed_ratio,log_target_length
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,2.8273136219290276
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.5303947050936475
-3.412458129349638e-17,-0.97182531580755,0.7171093833693124,0.97182531580755,0.9054665414974683,3.3163131992352534e-17,3.511394059443771e-17,4.651099117876491
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.308332819650179
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.8976198599275322
0.7924177540772609,0.0,0.7171093833693124,0.7924177540772609,0.9054665414974683,0.0,792417.754077261,2.6304489550786583
-3.412458129349638e-17,0.97182531580755,0.7171093833693124,-0.97182531580755,0.9054665414974683,-3.3163131992352534e-17,-3.511386833061849e-17,4.223909766576744
0.1608767587975645,0.0,0.7171093833693124,0.1608767587975645,0.9054665414974683,0.0,160876.75879756451,2.6939512767227085
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.824549292051046
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.9837562915454279
-3.412458129349638e-17,-0.97182531580755,0.7171093833693124,0.97182531580755,0.9054665414974683,3.3163131992352534e-17,3.511394059443771e-17,4.0669733654259685
-1.0864167068798352,0.0,0.7876795029254885,-1.0864167068798352,0.8374013009389213,-0.0,-1086416.706879835,1.4586150226995167
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,3.713572066704308
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.1939224684724346
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.5040773967762742
-3.412458129349638e-17,0.97182531580755,0.7171093833693124,-0.97182531580755,0.9054665414974683,-3.3163131992352534e-17,-3.511386833061849e-17,3.7256934272366524
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,2.462149662665384
1.423958749356957,0.0,0.7171093833693124,1.423958749356957,0.9054665414974683,0.0,1423958.7493569572,2.6844403354630764
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.0116009116784799
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.62924053973028
-3.412458129349638e-17,-0.97182531580755,0.7171093833693124,0.97182531580755,0.9054665414974683,3.3163131992352534e-17,3.511394059443771e-17,4.272211768666675
-1.092732116832632,0.0,0.0,-1.092732116832632,1.286147613303567,-0.0,-1092732.116832632,1.5686159179138452
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.5040773967762742
-3.412458129349638e-17,0.97182531580755,0.7171093833693124,-0.97182531580755,0.9054665414974683,-3.3163131992352534e-17,-3.511386833061849e-17,3.977810745966149
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.7967470107390942
0.7924177540772609,0.0,0.7171093833693124,0.7924177540772609,0.9054665414974683,0.0,792417.754077261,2.4756977107026903
1.423958749356957,0.0,0.7171093833693124,1.423958749356957,0.9054665414974683,0.0,1423958.7493569572,2.556451816951096
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,1.1631508098056809
-3.412458129349638e-17,-0.97182531580755,0.7171093833693124,0.97182531580755,0.9054665414974683,3.3163131992352534e-17,3.511394059443771e-17,4.526126978647638
-3.412458129349638e-17,0.0,0.7171093833693124,-3.412458129349638e-17,0.9054665414974683,-0.0,-3.412458129349638e-11,2.7356653681351832
